Procedure Code,Procedure,Note
FB+,"Caution. Diluting concentrated acids with water will result in a strongly exothermic reaction (the water temperature may increase to over 300°C). To avoid any damage to the stainless steel, initially introduce an excess abundance of water into the tank, using additional BW-machines and water hoses where required. Preferably use fresh water for the initial cleaning to avoid further corrosion damage to the stainless steel.

1. Butterworth with ambient temperature sea water or fresh water for 20 minutes (use preferably fresh water)
2. Butterworth with ambient temperature sea water for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry (Check passivation of stainless steel)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
FB-,"Caution. Diluting concentrated acids with water will result in a strongly exothermic reaction (the water temperature may increase to over 300°C). To avoid any damage to the stainless steel, initially introduce an excess abundance of water into the tank, using additional BW-machines and water hoses where required. Preferably use fresh water for the initial cleaning to avoid further corrosion damage to the stainless steel.

1. Butterworth with ambient temperature sea water or fresh water for 20 minutes (use preferably fresh water)
2. Butterworth with ambient temperature sea water for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry (Check passivation of stainless steel)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
G,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
G+,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
G-,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with ambient temperature sea water for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
GA,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 45 °C to 50 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
GA+,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 45 °C to 50 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
GA-,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 45 °C to 50 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
GB,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 60 °C to 70 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 60 °C to 70 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
GB+,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 60 °C to 70 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 60 °C to 70 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
GB-,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 60 °C to 70 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 60 °C to 70 °C for 1,5 hours
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
GC,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
GC+,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
GC-,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with ambient temperature fresh water for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
GE,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 20 °C to 30 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)",
GE+,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 20 °C to 30 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
GE-,"The combination of seawater and amines could result in the formation of white deposits on the tank walls. If white deposits are produced, Metalbright/Rust Remover can be used for their removal.

1. Butterworth with fresh water at 20 °C to 30 °C for 30 minutes (Fresh water because with sea water formation of white deposits possible)
2. Butterworth with sea water at 45 °C to 50 °C for 1 hour
3. Rinse with ambient temperature fresh water for 20 minutes
4. Vent, mop and dry
5. Optional Recirculation in fresh water at 45 °C to 50 °C for 1 hour and use one of these cleaners:
- Metalbright/rust remover
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues, Removal of white deposits)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
H,"Load next cargo without further cleaning.

1. Drain (Drain tanks and lines thoroughly)",
H+,"Load next cargo without further cleaning.

1. Drain (Drain tanks and lines thoroughly)
2. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
H-,"Load next cargo without further cleaning.

1. Drain (Drain tanks and lines thoroughly)
2. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HA,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)",
HA+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HA-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HB,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)",
HB+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HB-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HC,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)",
HC+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HC-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HD,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)",
HD+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HD-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HE,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Gas free (Ventilate tanks)
4. Vent, mop and dry (Lift scale)",
HE+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Gas free (Ventilate tanks)
4. Vent, mop and dry (Lift scale)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HE-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Gas free (Ventilate tanks)
4. Vent, mop and dry (Lift scale)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HF,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Gas free (Ventilate tanks)
5. Vent, mop and dry (Lift scale)",
HF+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Gas free (Ventilate tanks)
5. Vent, mop and dry (Lift scale)
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HF-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Gas free (Ventilate tanks)
5. Vent, mop and dry (Lift scale)
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HG,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Gas free (Ventilate tanks)",
HG+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Gas free (Ventilate tanks)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HG-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Gas free (Ventilate tanks)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HH,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)",
HH+,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HH-,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HI,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)",
HI+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)
3. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HI-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)
3. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HJ,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)",
HJ+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HJ-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HK,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)",
HK+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HK-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Drain (Drain tanks and lines thoroughly)
3. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HL,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)",
HL+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HL-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HM,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Drain (Drain tanks and lines thoroughly)
5. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
6. Gas free (Ventilate tanks)
7. Vent, mop and dry (Lift scale)",
HM+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Drain (Drain tanks and lines thoroughly)
5. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
6. Gas free (Ventilate tanks)
7. Vent, mop and dry (Lift scale)
8. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HM-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
3. Drain (Drain tanks and lines thoroughly)
5. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
6. Gas free (Ventilate tanks)
7. Vent, mop and dry (Lift scale)
8. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HO,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)",
HO+,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)
7. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HO-,"1. Butterworth with sea water at 70 °C to 80 °C for 2 hours
2. Rinse with ambient temperature fresh water for 20 minutes
3. Drain (Drain tanks and lines thoroughly)
4. Purge (Purge tanks to less than 2% (vol) hydrocarbon)
5. Gas free (Ventilate tanks)
6. Vent, mop and dry (Lift scale)
7. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
HX,Not to be loaded without special cleaning instructions,
HY,Not to be loaded without special cleaning instructions. Three clean products or three zero biological content intermediate cargoes recommended.,
HY+,"Not to be loaded without special cleaning instructions. Three clean products or three zero biological content intermediate cargoes recommended.
Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
HY-,"Not to be loaded without special cleaning instructions. Three clean products or three zero biological content intermediate cargoes recommended.
Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
I,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
I+,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
I-,"1. Butterworth with ambient temperature sea water for 40 minutes
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1 hour and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IA,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
IA+,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IA-,"1. Butterworth with ambient temperature sea water for 1 hour (For products with a melting point above 0°C keep the temperature 10-15°C above the melting point.)
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IB,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
IB+,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
IB-,"1. Butterworth with sea water at 50 °C to 55 °C for 1 hour
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon free)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
IC,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
IC+,"1. Butterworth with ambient temperature sea water for 1,5 hours
2. Butterworth with sea water at 70 °C to 80 °C for 1 hour
3. Recirculation in sea water or fresh water at 60 °C to 80 °C for 1,5 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
- Detergent
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
